Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:53cMvzX8XC3VXWyxqMa4iy,Baby Lee,Teenage Fanclub,indie,track,2010
spotify:track:7nRaIMwQxYzg7R54x3po4d,Dolores y Jose,Miguel Dantart,indie,track,2010
spotify:track:3TDaBwnmuPar60qaJrAJjU,Used to Be,Beach House,indie,track,2010
spotify:track:41tTCXOzxSWAoVrfeIIh8x,Wonderwall,Oasis,indie,track,2010
spotify:track:1BvO8MNkok2vIjoQJE5TPG,As Far As I Can See,Phantogram,indie,track,2010
spotify:track:5BNxLlPzaAyGKj09vSbZC3,Atlas Hands,Benjamin Francis Leftwich,indie,track,2010
spotify:track:50PmURspbkjLeG013zbTwe,Hijo de la Luz y de la Sombra,Joan Manuel Serrat,indie,track,2010
spotify:track:1vn0lNByfu02t5fj3vpOnr,The Suburbs (continued),Arcade Fire,indie,track,2010
spotify:track:7dOEOX3TdlfyWaV4hJSpLP,A Movement Between These Two,Hola A Todo El Mundo,indie,track,2010
spotify:track:6dO0BzcEhuEevlJxxu0Gbb,Personal Jesus - Live In Barcelona,Depeche Mode,indie,track,2010
spotify:track:7jAM9nhH8bjnGNe4dz59yE,Carolina In My Mind - Live At The Troubadour / 2007,Carole King,indie,track,2010
spotify:track:3AJI3lyZLADSaFjG2wQoFp,If I Could Only Fly,Blaze Foley,indie,track,2010
spotify:track:4JvoMGCxBXhy2kNMX3pIXk,A Lion's Heart,The Tallest Man On Earth,indie,track,2010
spotify:track:6LP5cfCrbhcLUC1IuBDPaV,The Rain Pauly,Boat Beam,indie,track,2010
spotify:track:5CB29lvUtKVbTUy9oc8Fej,Sister Marie Says,Orchestral Manoeuvres In The Dark,indie,track,2010
spotify:track:0H5fAJkpzvOZ7ntx11pjBP,Barbie Girl,Ben L'Oncle Soul,indie,track,2010
spotify:track:5YnSGEZ17gkANr8eXQ5Kvw,The Video Dept.,The Radio Dept.,indie,track,2010
spotify:track:2gE8DuQS5HnQS4GojVaAiC,Nobody's Daughter,Hole,indie,track,2010
spotify:track:4Pngl6kmbdPflQsCi7Guga,Pasa Sin Llamar,Mr. Kilombo,indie,track,2010
spotify:track:2eSlBeOIKaT5LvPplw9aPN,Month of May,Arcade Fire,indie,track,2010
spotify:track:0PCqQ9HJ0eo0Ya1tv8Ax6L,Ventura,Lori Meyers,indie,track,2010
